argument,topic,set,WA
a multi-party system will require large quantities of money that could better be used elsewhere,We should adopt a multi-party system,train,0.786908344
a multi-party system will simply lead to legislative gridlock and nothing will get accomplished.,We should adopt a multi-party system,train,0.945412809
a multi-party system will split the country even more.,We should adopt a multi-party system,train,0.702589116
a multi-party system would allow more people to have their ideas represented.,We should adopt a multi-party system,train,1.0
a multi-party system would allow more views to be heard and more complex debates.,We should adopt a multi-party system,train,1.0
a multi-party system would be beneficial as more than one political view in government would ensure a fairer outcome.,We should adopt a multi-party system,train,1.0
a multi-party system would be divisive at a time when we need to pursue common interests.,We should adopt a multi-party system,train,1.0
a multi-party system would be more representative of the public will.,We should adopt a multi-party system,train,0.9058203
a multiparty system would be more representative of the will of the people,We should adopt a multi-party system,train,0.969150329
a multi-party system would be too confusing,We should adopt a multi-party system,train,0.685444085
a multiparty system would be too decentralized,We should adopt a multi-party system,train,0.864336177
a multi-party system would breath new life into a system currently dominated by same people and ideas,We should adopt a multi-party system,train,0.639523366
"a multi-party system would bring a fairer balance to government, not leading to one extreme of politics or the other.",We should adopt a multi-party system,train,1.0
A multi-party system would bring in a lot more choice of representation for the people living in the country.,We should adopt a multi-party system,train,1.0
a multi-party system would bring more choices for people to speak up and vote.,We should adopt a multi-party system,train,0.87019792
A multi-party system would cause more confusion than there already is in the country and cause government to be even less effective.,We should adopt a multi-party system,train,0.935406128
a multi-party system would ensure that there is an equal distribution of ideas in the political venue.,We should adopt a multi-party system,train,0.91347634
a multi-party system would give more groups the chance to have their political voices heard,We should adopt a multi-party system,train,1.0
a multi-party system would give voters more choices and even out the playing field.,We should adopt a multi-party system,train,0.866140045
a multi-party system would help bring new ideas,We should adopt a multi-party system,train,0.866668164
a multi-party system would help create more options for voters.,We should adopt a multi-party system,train,1.0
"a multi-party system would improve the democratic process by giving more traditionally marginalised views representation, and therefore improve peoples' motivation for voting.",We should adopt a multi-party system,train,1.0
a multi-party system would introduce new ideas,We should adopt a multi-party system,train,0.894703
"a multi-party system would lead to invalid elections, with no one winning the majority of votes, thus no one wins",We should adopt a multi-party system,train,0.881089748
A multi-party system would never get anything done as it would be nearly impossible for all of them to come into agreement about anything.,We should adopt a multi-party system,train,0.76275425
a multi-party system would only lead to in fighting and less getting done.,We should adopt a multi-party system,train,0.797689263
"a multi-party system would pollute the polls.  there would be too many options, meaning none would get the full vote they deserve or need.",We should adopt a multi-party system,train,0.817690101
A multiparty system would require a complete overhaul of our democratic system.,We should adopt a multi-party system,train,0.872383127
a multi-party system would ruin the country.,We should adopt a multi-party system,train,0.491597239
a multi-party would not work in some countries where there is a monarchy and we should not interfere with stable regimes or try to impose our ideas on others.,We should adopt a multi-party system,train,0.880123458
a mult-party system makes it too confusing for voters to pick candidates if they each have good platforms,We should adopt a multi-party system,train,0.709754594
a new system would bring new life and create options,We should adopt a multi-party system,train,0.461168863
a nuclear free world would ensure humanities survival,We should fight for the abolition of nuclear weapons,train,0.696947013
"a nuclear war would kill everyone and everything on the whole planet, the whole human race would be wiped out, there is no way we would ever come back.",We should fight for the abolition of nuclear weapons,train,0.766533208
a one party system is a dictatorship.  russia under communism was a one party system. all people must follow the governments position without an opposing view.,We should adopt a multi-party system,train,0.732322008
"a parent is suppose to love a child no matter they are male or female, the natural way of determination, and sex selection makes children commodities instead of miracles.",We should legalize sex selection,train,0.66292921
a parent knows best what is good for their kid,Homeschooling should be banned,train,0.586731199
a parent knows their child better than anyone else and can personalize their teaching to that childs personality,Homeschooling should be banned,train,0.886297916
"A patient should be able to decide when they have had enough ""care"".",Assisted suicide should be a criminal offence,train,0.604158949
a person could be tempted to commit a crime they would not otherwise have done if faced with entrapment practices.,Entrapment should be legalized,train,0.826342973
a person has a right to state his opinion about how he feels about his country,We should prohibit flag burning,train,0.869753684
a person has the right to choose cosmetic surgery if they want to and they should not be prevented from doing so.,We should ban cosmetic surgery,train,0.751026656
"a person has the right to end their suffering and if somebody takes pity on them and chooses to help, that person should not be punished.",Assisted suicide should be a criminal offence,train,0.890631196
"A person has to earn money in order support himself/herself. For some, there are no viable alternatives to prostitution. Arresting someone for just trying to survive is unjust.",We should legalize prostitution,train,0.674088216
a person is either male or female unless born hermaphrodite so pandering to people who have decided to be gender-neutral is another example of the world gone mad.,We should adopt gender-neutral language,train,0.344633451
a person needs to be able to choose to work as long as they are well enough to do so.,We should end mandatory retirement,train,0.863383353
"a person or business has a right to profit or use their own invention, idea, process etc without fearing someone stealing it.",We should abolish intellectual property rights,train,0.871600783
a person should be able to bear arms to protect themselves and anyone around them,We should abolish the right to keep and bear arms,train,0.398813273
a person should be able to choose if they want to remain a virgin without persecution.,The vow of celibacy should be abandoned,train,0.570609946
a person should be able to choose who they want to spend their life with,We should legalize polygamy,train,0.51149119
a person should be allowed to choose a natural approach to curing their disease.  especially one that has existed since the 1700's.,Homeopathy brings more harm than good,train,0.731694313
a person should be allowed to choose what happens to their bodies,We should ban cosmetic surgery for minors,train,0.911951651
a person should decide what to do with their bodies not the government. if they desire to seek alternative medicine they should be free to do so,We should ban naturopathy,train,0.831858851
a person should have the dignity to choose how they die,Assisted suicide should be a criminal offence,train,0.921720042
a person should have the right to be able to choose if they want to live or die,Assisted suicide should be a criminal offence,train,0.616712147
a person should have the right to die on their own terms,Assisted suicide should be a criminal offence,train,0.864893545
"a person should not be forced into having to live their lives suffering, when death is already enevitable",Assisted suicide should be a criminal offence,train,0.627602473
a person uses his imagination and hard work to write as book or music.  they should be able to benefit from their work.  it should not be in the public domain.,We should abolish intellectual property rights,train,1.0
a person who does a great job deserves to get extra income,We should limit executive compensation,train,0.440552536
"a person who is terminally ill and suffering should be given the right to end his suffering, under medical supervision.",Assisted suicide should be a criminal offence,train,0.811038703
a person who receives a vocational education earns less over his or her lifetime than someone with a college degree.,We should subsidize vocational education,train,0.465574198
a person's education should be the responsibility of themselves,We should subsidize student loans,train,0.661939315
a persons identity is based on their gender and it should be acknowledged or it could prove offensive.,We should adopt gender-neutral language,train,0.390906011
a person's value should not be based on a number.  just because you reach a certain age does not mean you do not want or need to work.  mandatory retirement hurts elderly workers.,We should end mandatory retirement,train,0.814907669
a piece of paper does not keep people together,We should abandon marriage,train,0.541369958
a poll shows that more than 90% of the people are in support of a multi-party system in the usa.,We should adopt a multi-party system,train,0.728512315
a priest chooses to make a vow to god to be celibate.  he is not forced.  if he chooses to become a priest he makes this vow.  we should not try to take this away from becoming a priest.,The vow of celibacy should be abandoned,train,0.650541542
a prisoner camp should be based in the us so it can be fully governed by american laws.,We should close Guantanamo Bay detention camp,train,0.567800111
"a probable history of criminal activity is not evidence that it has taken place, and entrapment is by definition encouraging criminal activity, perhaps where none would otherwise take place.",Entrapment should be legalized,train,0.92193974
a range of opinions may be better than  facts.,We should limit judicial activism,train,0.392286786
