论点,主题,set,WA
一位人权活动人士表示，人们不应因为属于某个特定群体或拥有不同肤色而受到种族歧视。,我们应该结束种族歧视。,train,0.467666058
一位法官允许个人感情介入裁决会导致裁决不公正。,我们应该限制司法激进主义。,train,0.886716086
一名法官是一个值得信赖的被选举个体，其决定应该受到信任。,我们应该限制司法激进主义。,train,0.796514812
一位法官仅仅应当解释法律问题是否符合宪法——司法激进主义实际上是在法庭上立法，这超出了司法分支被允许做的范围。,我们应该限制司法激进主义。,train,0.733259128
法官不是上帝，因此不应该做出所有决定。,我们应该限制司法激进主义。,train,0.645038339
一名法官应该受到高度尊重，并且应该遵守他们宣誓维护的法律，不偏不倚。,我们应该限制司法激进主义。,train,0.850495682
一名法官应该维护法律的原则，而不是根据自己的观点和信念来改变它。,我们应该限制司法激进主义。,train,1.0
法官应被允许使用自己的信念来部分地确定一个论点的合宪性。,我们应该限制司法激进主义。,train,0.909260166
法官不应表露个人观点。,我们应该限制司法激进主义。,train,0.618884716
作为法官，法官的看法不应该在他们作为法官做出决定时起任何作用。,我们应该限制司法激进主义。,train,0.896425919
法官的观点不应高于正式法律。,我们应该限制司法激进主义。,train,1.0
法官的角色并不是炫耀法律并推翻指导，而是要执行它。司法激进主义是走得太远了。,我们应该限制司法激进主义。,train,1.0
法官应该被允许审视犯罪行为及被告人所面对的情况，刑罚应当根据个体情况来确定。,我们应该限制司法激进主义。,train,0.702201807
法官应该被允许根据特定情况和环境做出裁决，并根据提供的信息和问题做出判断，而不是严格遵循一般化的标准。,我们应该限制司法激进主义。,train,0.762386062
法官应遵循法律而不是个人意见，因为他们被视为最高权威，用来审理并维护他们尊重的法律。,我们应该限制司法激进主义。,train,0.9000733
多党制的一个关键优势是选民可以选择他们要选举的政党。,我们应该采取多党制。,train,0.977855246
由外表导致的缺乏自信可以对人们的生活产生毁灭性影响，而整形手术可以帮助减少这种影响。,我们应该禁止整容手术。,train,0.943026071
缺乏控制意味着如果出了问题，就没有人能够介入控制。,我们应该停止自动驾驶汽车的发展。,train,0.670776465
选举参与不足会导致议会中代表不公平的情况。,我们应该引入强制投票。,train,1.0
不包含性别的语言会剥夺人的个性特征。,我们应该采用性别中立的语言,train,0.663691256
人数更多的群体通常能提供更多的价值。大群体有更多的想法和更多的人力，因此具有更大的价值。,我们应该反对集体主义。,train,0.744154915
合法的器官交易将会增加移植器官的可获得性并拯救生命。,我们应该合法化器官交易。,train,0.91692616
合法化器官交易将大幅改善器官移植库存，挽救生命。,我们应该合法化器官交易。,train,1.0
合法化器官交易将增加可用于医疗程序的库存量，并使程序更加安全和受到更好的监管。,我们应该合法化器官交易,train,1.0
合法化贸易会不成比例地伤害那些来自经济较差背景的人，使涉及到的巨大医疗风险合法化。,我们应该合法化器官交易,train,0.790330746
合法化的市场会剥削贫困人口，因为由于财务问题，他们很可能成为最有可能出售器官的人。,我们应该合法化器官交易,train,1.0
应当将不伤害他人的生活方式合法化。,我们应该合法化一夫多妻 制度。,train,0.461355421
如果我们放弃电视，就可以做更多的工作和研究。,我们应该放弃电视。,train,0.766087264
许多中性语言假定男性版本的词作为新被接受的中性词。这并不能使其中性化，只是默认将男性视为最好的。,我们应该采用性别中立的语言。,train,0.56094296
许多自然疗法医生提出没有科学依据的建议，这可能对患者造成伤害。,我们应该禁止自然疗法。,train,1.0
许多罪犯都属于特定种族，为了安全和挽救生命，警方应该被允许进行种族歧视，换取一点点的痛苦。,我们应该结束种族歧视。,train,0.811590203
许多时候，整形手术的身体和情感后遗症会击败进行手术的主要目的。,我们应该禁止整形手术。,train,1.0
很多时候，自家教育孩子的家长并没有资格教授高中毕业所需的所有科目。,应禁止家庭教育,train,1.0
他们所做的很多事情都很危险，包括反对疫苗。,我们应该禁止自然疗法。,train,0.835787168
许多卖淫的女性本身也遭受性侵犯，因此提供更好的选择可能会更好。,我们应该将卖淫合法化。,train,0.636189985
低投票率意味着当选的政府并不代表国家的真实意愿。强制投票意味着当选的政府有真正的授权。,我们应该推行强制投票。,train,1.0
大多数学生无法支付高昂的大学上学费用。,我们应该对学生贷款进行补贴。,train,1.0
一个男人或女人有权决定如何处理自己的身体，如果他们选择出售自己的身体从事性交易，政府不应干涉。,我们应该将卖淫合法化。,train,1.0
强制退休年龄使雇主能够将新鲜人才引入其工作人员中。,我们应该取消强制性退休。,train,0.592856958
强制性的退休年龄确保某个行业中至少有一些职位会在可预测的基础上开放，让年轻员工有机会进入，而老员工退出。,我们应该结束强制退休。,train,0.907162426
强制退休年龄有助于雇主定期更新劳动力，引入新鲜的人才。,我们应该结束强制退休。,train,0.517058292
一个男人的地方在职场，为了他的家庭提供支持。为什么其他人要因为他不想工作而为那个家庭买单呢？,我们应该给在家照顾孩子的父亲提供补贴,train,0.495053967
一场婚姻只是一张纸，仅此而已。,我们应放弃婚姻,train,0.639853145
导弹防御开发者和导弹开发者之间的微型军备竞赛导致任何拥有这两个产业的国家都面临巨大的开支。,我们应该为废除核武器而奋斗。,train,0.599073311
未成年人没有达到必要的心理和情感发展水平，无法做出具有长期影响的决定。,我们应该禁止未成年人进行整容手术。,train,0.979063676
未成年人绝对没有足够的责任来决定接受整容手术。你会看到太多孩子这样做，是因为他们想模仿流行偶像的潮流。这是危险的。,我们应该禁止未成年人进行整形手术。,train,0.848459328
未成年人还不足以做出会影响他们一生的决定。,我们应该禁止未成年人进行整形手术,train,1.0
未成年人仍在成长，因此任何整形手术在他们完全长大后可能会导致不太理想的结果。,我们应该禁止未成年人进行整容手术,train,0.853299985
未成年人应该被允许接受整容手术，如果这能够改善他们对自己的看法并提升他们的自信心。这些事情将会以积极的方式影响他们的成年生活。,我们应该禁止未成年人进行整容手术。,train,0.946942126
未成年人应该有权控制自己的身体。,我们应该禁止未成年人进行整形手术。,train,0.561735508
一个错误可能导致一个人永久毁容。,我们应该禁止整容手术,train,0.897362826
一个主张性别平等的现代社会有责任资助留在家里照顾孩子的父亲，就像它支持母亲一样 - 这既改善了女性的职业前景，也增进了父亲们的情感联系。,我们应该给待在家看孩子的爸爸提供补贴。,train,1.0
多党制是必要的，因为除了民主党和共和党外，还有更多不同的观点和意见。,我们应该采取多党制。,train,0.842355956
多党制可以为多元化人口提供更好的选择，这意味着人们可以找到他们真正信任的候选人，更好地参与民主。,我们应该采取多党制。,train,1.0
多党制能够容纳更多合格个人。,我们应该采取多党制。,train,0.59626369
多党制会给人民提供过多选择，导致混乱。,我们应该采用多党制。,train,0.903183785
多党制并不总是有助于事情的发展。我们可能会面临多个糟糕选择，最终不得不选择两害相权取其轻的局面。,我们应该采取多党制。,train,0.855504545
多党制确保了每个人的观点都能被代表和纳入考虑，而不仅仅是少数人。,我们应该采纳多党制。,train,1.0
多党制有助于确保所有人都得到代表，防止任何一个党派或派系过于强大。多党制更加公平，不偏袒任何一组团体。,我们应该采用多党制。,train,1.0
多党制太不稳定，缺乏稳定性和一致性。,我们应该采取多党制。,train,0.956774768
多党制可能会过于混乱，因为会有太多候选人持有太多不同意见，选举可能会变得困难。,我们应该采取多党制。,train,0.858611343
多党制将帮助我们选择最适合这项工作的人。,我们应该采用多党制。,train,0.920955683
多党制将导致边缘群体崛起，这些群体并不代表人民的意愿。,我们应该采用多党制。,train,0.875516265
多党制将会为许多新的、新鲜的想法带来前所未有的机遇。,我们应该采用多党制。,train,1.0
多党制将确保更多人的观点被考虑进去。,我们应该采取多党制。,train,1.0
多党制将代表所有投票者，而不仅仅是投票给某一党派的人，因此会建立起更加公平的治理体系。,我们应该采用多党制。,train,0.969549714
多党制会花费更多时间争论而非解决问题，并不会有益。,我们应该采纳多党制。,train,0.834587451
多党制不符合宪法。,我们应该采取多党制。,train,0.629491034
一个多元化的系统可以提供更多的选项和候选人，更符合特定人群的政治观点，因为并非每个人都具有相同的政治观点。,我们应该采用多党制。,train,0.861524267
多党制可以减少特定候选人的选票，使选票被挪用。,我们应该采纳多党制。,train,0.226248768
多党制确保所有人的声音和意见都被听到和代表。,我们应该采取多党制。,train,0.972829744
多党制是民主不可或缺的，能够防止专制政权上台。,我们应该采取多党制。,train,0.882314075
多党制能够为选民提供更大的选择自由，使他们能够表达他们的民主权利，投票支持他们希望实施的政策。,我们应该采用多党制。,train,0.88108555
多党制能让更多不同观点被听到。,我们应该采取多党制。,train,1.0
多党制允许多个政党进入政府，是民主的标志。,我们应该采取多党制。,train,1.0
多党制允许所有政党代表所有人。,我们应该采取多党制。,train,1.0
多党制有利于各种观点被听取和实施。,我们应该采用多党制。,train,1.0
多党制让个人有更多选择，能找到真正代表自己的合适政党，提供了更加多样化的选项。,我们应该采取多党制。,train,1.0
多党制允许多元思维和更广泛的选择，有利于人民。,我们应该采取多党制。,train,1.0
多党制可以让选民在投票时有更多选择权。它让每个公民可以投票给最符合他们信仰和代表他们意识形态的政党。,我们应该采用多党制。,train,1.0
多党制有利于更大程度的选择自由和意见表达。,我们应该采用多党制。,train,0.84015815
多党制可以提供更大的选择自由，因为更多的主要政党会涵盖更多的意识形态观点。,我们应该采取多党制。,train,1.0
多党制可以让选民更自由地表达意见，并减少对你最不同意的候选人投票的需求。,我们应该采取多党制。,train,1.0
多党制可以提供更多选择，以解决多候选人提供的人们观点和问题。,我们应该采用多党制。,train,1.0
多党制能够带来更多的想法、更多的候选人，以及更多的选民到场投票。,我们应该采取多党制。,train,1.0
多党制可以让更多不合格的人参与竞选。,我们应该采取多党制。,train,1.0
多党制能够让更多的观点和理念得到代表。,我们应该采取多党制。,train,1.0
一个多党制系统能够容纳更多不同观点的表达，需要政治人物建立联盟并妥协以完成事务。,我们应该采取多党制。,train,1.0
多党制允许人民在不同的理念集合之间进行选择，以治理国家。,我们应该采取多党制。,train,1.0
多党制允许对执政政府进行公开建设性批评，防止暴政的出现。,我们应该采取多党制制度,train,1.0
多党制将确保所有政策都经过协商一致，而不是由少数派强行通过。它还将确保更广泛的信仰和观点得到代表。,我们应该采取多党制。,train,0.937324626
多党制模糊了国家愿景和模型的公民身份。我们不应该采纳多党制，因为这将浪费宝贵的时间来达成一致。,我们应该采取多党制。,train,0.757334863
多党制为政治领域带来多样性，帮助人们更好地决定他们的选票应该投给谁。,我们应该采纳多党制。,train,0.890813007
一个多党制系统可能会给一个本应简单如“遵守法律”的政府体系带来持续的争吵和无休止的内斗。,我们应该采取多党制。,train,0.75626388
多党制能够增加人民的观点，并提供更多的选择。,我们应该采取多党制。,train,0.861389193
多党制可以打开门户，让贫瘠的领导者下台，推动变革。,我们应该采取多党制。,train,0.881290551
多党制可能导致某人当选，而这人只得到少数公民的支持。,我们应该采用多党制。,train,0.612015482
多党制可能增加更多复杂性，并导致问题变得无法解决的情况。,我们应该采取多党制。,train,0.944463172
多党制可能非常有益，因为它能够提供更多意见和选择。,我们应该采取多党制。,train,1.0
多党制可能会导致本应合作的各方之间发生过多的内讧。,我们应该采用多党制。,train,1.0
多党制可能会增加政治官僚主义。,我们应该采取多党制。,train,0.971598521
多党制可能导致更多情况下难以达成多数意见，这意味着推动政策通过可能会更加困难。,我们应该采取多党制。,train,0.78422583
多党制可能会使决策变得更加困难，因为意见的多样性会使事情变得更复杂。,我们应该采用多党制。,train,0.876806409
多党制可能意味着在任何问题上达成一致更加困难，因为在问题上很可能没有多数派。,我们应该采取多党制制度。,train,0.910027661
多党制会制造混乱。在这种情况下，人多并不意味着更好。,我们应该采纳多党制。,train,0.756093157
多党制让人民能够更多地参与国家事务。,我们应该采用多党制。,train,0.875781695
多党制鼓励创新和新思维。,我们应该采取多党制。,train,1.0
多党制鼓励具有不同政治观点的政党合作，抑制极端对立的政治。,我们应该采用多党制。,train,0.978030505
多党制鼓励形成弱势和不稳定的联合政府，无法推动进行激进变革。,我们应该采取多党制。,train,0.743776776
多党制确保选民有机会选举与其信仰最接近的政治人物，减少他们不得不就他们认为重要的事情做出妥协的机会。,我们应该采用多党制。,train,0.704629766
多党制显然有利于民主。它允许对立的政党协商解决分歧，并在政府选举中给予人民选择。,我们应该采用多党制。,train,0.899417949
多党制是民主的基石。任何人都应该有自己的理念，并选择自己喜欢的政党。,我们应该采用多党制。,train,0.782996179
多党制的好处在于为选民提供了许多不同观点和想法的候选人。,我们应该采用多党制。,train,1.0
多党制不太可能迎合极端分子，因为极端分子现在只能通过小的极端政党来代表。,我们应该采纳多党制。,train,0.783167638
多党制系统不太可能因为有更多愿意妥协的政党而陷入僵局。,我们应该采用多党制。,train,1.0
多党制更能代表民意。,我们应该采取多党制。,train,1.0
多党制更能对公众意见的变化或转变做出响应。,我们应该采纳多党制。,train,0.873679164
一个多党制体系是最公平地代表所有政治观点的方式，也会增加选民对政治的整体参与度。,我们应该采取多党制。,train,1.0
多党制是目前最民主的制度，因为它能够承认更广泛的观点。,我们应该采取多党制。,train,0.885611737
多党制缺乏稳定性，运行成本高昂，因为许多政党都在竞选中努力争取发声的机会。,我们应该采取多党制。,train,0.876513296
多党制会导致混乱和混乱。,我们应该采取多党制。,train,0.937835138
多党制导致分歧过大，可能永远无法达成总体共识。,我们应该采用多党制。,train,0.953416314
多党制导致政府不稳定，不能准确反映人民的意愿。,我们应该采取多党制。,train,0.887521165
多党制让重要议题上的多种观点得以被听到。,我们应该采纳多党制。,train,1.0
多党制会使得在想法合作方面变得更加困难。,我们应该采取多党制。,train,0.736990795
多党制确保更多的想法被纳入。,我们应该采用多党制。,train,0.869150183
多党制确保一个政党不会垄断所有权力。,我们应该采纳多党制。,train,1.0
多党制最大程度地提高了选择，从而鼓励更多选民参与。,我们应该采纳多党制。,train,1.0
多党制意味着更多意见会被听到，人们将有更多选择权来选择投票支持的对象。,我们应该采取多党制。,train,0.909258961
多党制可能使得更多不同背景的候选人进入每次选举的前线。,我们应该采用多党制。,train,1.0
多党制让人眼花缭乱，涌现了太多的想法。,我们应该采用多党制。,train,0.477760689
多党制从未奏效，因为追根究底，每个党派都只为自己着想，而不是为被代表的人民谋福祉。,我们应该采用多党制。,train,0.95171883
多党制提供了太多选项，降低了对某一候选人的选举投票，使选票分散在太多选项上。,我们应该采用多党制。,train,0.886849138
多党制只会让选择总统候选人变得更困难。,我们应该采取多党制。,train,0.60916301
多党制防止了单一政党领导在不受挑战的情况下制定政策。,我们应该采取多党制。,train,1.0
多党制提供了更多选择，确保人们在简单的两党或单一党制之外，能够得到他们各种信仰的代表。,我们应该采用多党制。,train,1.0
多党制减少了战术投票（投票给某个特定人或政党，以防止他人胜出）。,我们应该采取多党制。,train,0.958045716
多党制导致了众多不同的平台，缺乏凝聚力，什么事情都无法完成。,我们应该采用多党制。,train,0.742411176
多党制将选票分散得很薄，因此一个领导人即使没有获得多数人民的选票，也可以获胜。,我们应该采纳多党制。,train,0.578222849
多党制削弱了决策速度，并确保没有任何进展，因此我们不应采纳它。,我们应该采用多党制。,train,0.916078897
多党制将促进更多观点交流，有利于政府更好发展。,我们应该采用多党制。,train,1.0
多党制将会造成混乱和僵局。,我们应该采纳多党制。,train,0.687066512
多党制将会给更多有不同想法的人提供参选的机会。,我们应该采取多党制。,train,0.830371061
多党制将有助于确保更多政治议程有机会代表人民。,我们应该采取多党制。,train,0.856328287
多党制只会导致政府内更多的争论和政治势力固化。,我们应该采取多党制。,train,0.779476742
多党制将缺乏真正的领导，这意味着政策往往最终被削弱或根本无法通过，因为无法达成多数人的共识。,我们应该采取多党制。,train,0.862559969
多党制将会促进政府内不同观点的多样性。,我们应该采用多党制。,train,1.0
多党制将确保国家内的每个人都能得到充分代表。,我们应该采取多党制。,train,1.0
一个多党制体系将需要大量资金，这些资金本应该更好地用于其他地方。,我们应该采用多党制。,train,0.786908344
多党制将只会导致立法僵局，什么事情都无法完成。,我们应该采用多党制。,train,0.945412809
多党制将进一步分裂这个国家。,我们应该采取多党制。,train,0.702589116
一个多党制系统将会让更多人的观点得到代表。,我们应该采取多党制。,train,1.0
多党制将会使更多的观点被听到，进行更加复杂的辩论。,我们应该采用多党制。,train,1.0
多党制将是有益的，因为政府中有多种政治观点，将确保更公平的结果。,我们应该采取多党制。,train,1.0
当我们需要追求共同利益时，多党制将会造成分裂。,我们应该采取多党制。,train,1.0
多党制将更能代表公众意愿。,我们应该采取多党制。,train,0.9058203
多党制将更能代表人民的意愿。,我们应该采用多党制。,train,0.969150329
多党制会太过混乱。,我们应该采取多党制。,train,0.685444085
多党制将会太过分散化。,我们应该采取多党制。,train,0.864336177
一个多党制的体系会为目前由同一群人和观念主导的体系注入新的活力。,我们应该采用多党制。,train,0.639523366
多党制将为政府带来更公正的平衡，不会导致政治的极端化。,我们应该采纳多党制。,train,1.0
多党制将为居住在该国的人们带来更多的代表选择。,我们应该采纳多党制。,train,1.0
多党制将为人们提供更多发声和投票的选择。,我们应该采用多党制。,train,0.87019792
多党制将使国家现有的混乱更加严重，并导致政府运作效率更低。,我们应该采取多党制。,train,0.935406128
多党制将确保政治舞台上各种观点得到均衡分布。,我们应该采取多党制。,train,0.91347634
多党制将使更多团体有机会让他们的政治声音被听到。,我们应该采用多党制。,train,1.0
多党制将给选民提供更多选择，使竞争更加公平。,我们应该采用多党制。,train,0.866140045
多党制有助于引入新的想法。,我们应该采用多党制。,train,0.866668164
多党制将有助于为选民创造更多选择。,我们应该采用多党制。,train,1.0
多党制可以通过为更多传统上被边缘化的观点提供代表来改善民主进程，从而提高人们投票的动机。,我们应该采用多党制。,train,1.0
多党制会引入新的想法。,我们应该采纳多党制。,train,0.894703
多党制会导致选举无效，没有人赢得多数选票，因此没有人获胜。,我们应该采用多党制。,train,0.881089748
一个多党制体系永远无法完成任何事情，因为他们几乎不可能就任何事情达成一致。,我们应该采纳多党制。,train,0.76275425
多党制只会导致内讧，影响决策执行。,我们应该采用多党制。,train,0.797689263
多党制会使选举结果变得混乱。过多的选项会导致没有任何一方获得应有或所需的全票支持。,我们应该采取多党制。,train,0.817690101
多党制需要对我们的民主制度进行彻底改革。,我们应该采取多党制。,train,0.872383127
多党制会毁掉国家。,我们应该采用多党制。,train,0.491597239
在一些存在君主制的国家，多党制可能不适用，我们不应该干涉稳定的政权或试图将我们的观念强加给他人。,我们应该采用多党制。,train,0.880123458
多党制会让选民很难选择候选人，尤其是每个候选人都有很好的政纲。,我们应该采用多党制。,train,0.709754594
一个新系统将带来新生机并创造更多选择。,我们应该采用多党制。,train,0.461168863
无核世界将确保人类的生存。,我们应该为废除核武器而奋斗。,train,0.696947013
一场核战争将会毁灭整个地球上的所有生命，整个人类将被消灭，我们永远无法复苏。,我们应该为废除核武器而努力。,train,0.766533208
一党制是独裁制度。共产主义下的俄罗斯是一党制。所有人都必须遵循政府立场，不能有相反意见。,我们应该采取多党制。,train,0.732322008
父母应该无论子女是男是女都要爱他们，这是自然的确定方式，而性别选择使孩子变成了商品，而不是奇迹。,我们应该合法化性别选择,train,0.66292921
父母最了解自己孩子需要什么,应该禁止家庭教育,train,0.586731199
父母了解自己的孩子胜过任何人，可以根据孩子的个性来个性化教学。,应该禁止家庭教育。,train,0.886297916
患者应该有权决定何时觉得自己接受了足够的“关怀”。,协助自杀应该是一种刑事犯罪。,train,0.604158949
一个人如果面临诱导行为，可能会被诱使去犯一种本来不会犯的罪行。,应该将诱捕合法化。,train,0.826342973
一个人有权发表自己对自己国家的看法。,我们应该禁止烧国旗。,train,0.869753684
一个人有权选择进行整容手术，如果他们想这样做，不应该被阻止。,我们应该禁止整形手术。,train,0.751026656
一个人有权结束自己的痛苦，如果有人怜悯他们并选择帮助，那个人不应该受到惩罚。,协助自杀应视为刑事犯罪。,train,0.890631196
一个人必须通过赚钱来维持自己生活。对于某些人来说，卖淫是他们没有其他选择。仅仅因为试图生存而逮捕某人是不公正的。,我们应该合法化卖淫。,train,0.674088216
一个人要么是男性或女性，除非出生为雌雄同体，所以迎合那些决定成为无性别者的人是世界疯了的又一个例子。,我们应该采用性别中立的语言。,train,0.344633451
一个人需要有能力选择工作，只要他们身体状况良好就可以。,我们应该取消强制退休。,train,0.863383353
一个人或企业有权利从他们自己的发明、想法、流程等中获利或使用，而不必担心有人窃取。,我们应该废除知识产权。,train,0.871600783
一个人应该有权拥有武器，以保护自己和身边的任何人。,我们应该废除持有和携带武器的权利,train,0.398813273
一个人应该可以选择是否保持贞操，而不受迫害。,应该放弃独身誓言,train,0.570609946
一个人应该有权选择与谁共度一生。,我们应该合法化一夫多妻。,train,0.51149119
一个人应该被允许选择自然疗法来治疗他们的疾病，尤其是那些自17世纪以来就存在的疗法。,顺势疗法带来的危害大于益处。,train,0.731694313
一个人应该被允许选择自己身体发生什么。,我们应该禁止未成年人进行整形手术。,train,0.911951651
一个人应该决定如何处理自己的身体，而不是政府。如果他们想寻求替代医学，他们应该有这个自由。,我们应该禁止自然疗法。,train,0.831858851
一个人应该有尊严去选择自己的死亡方式。,协助自杀应当构成刑事犯罪。,train,0.921720042
一个人应该有权利选择他们是否想要活着或死去。,协助自杀应该是一种犯罪行为。,train,0.616712147
一个人应该有权利以自己的方式选择死亡。,协助自杀应该是一种刑事犯罪。,train,0.864893545
一个人不应被迫生活在痛苦中，当死亡已经是不可避免的时候。,协助自杀应被视为刑事犯罪。,train,0.627602473
一个人利用他的想象力和辛勤工作创作了一本书或音乐。他们应该能够从自己的作品中受益。作品不应该进入公有领域。,我们应该废除知识产权。,train,1.0
做得好的人应该得到额外收入。,我们应该限制高管薪酬。,train,0.440552536
