争论,主题
应采用性别中立的语言，以使对话和语言对所有人都公平。,我们应该采用性别中立的语言
一个性别中性的语言会提高性别平等,我们应该采用性别中立的语言
我们都应该学习使用性别中性的语言，这将有助于应对种族主义和其他社会问题。,我们应该采用性别中立的语言
一个性别中立的语言需要数百年的时间才能被采用，因此应该放弃。,我们应该采用性别中立的语言
一个有天赋的标签可能会导致孩子不努力工作，像他们应该的那样。,智力测试带来更多伤害而不是益处
如今很大一部分电话推销人员甚至不是人类，这是非法的并且不道德。,我们应该禁止电话营销。
政府禁止发放发薪日贷款是保护最脆弱群体的唯一途径。,应禁止发放薪水贷款
政府应该尽其所能保护自己的安全。,我们应该禁止有针对性的杀戮。
一家由政府资助的维基百科将变成一家由政府控制的维基百科。,我们应该对维基百科进行补贴。
每年都有大量的资金被浪费在试图监管大麻的使用上，如果大麻合法化了，这些资金就能节省下来。,我们应该合法化大麻
一个团队一起合作相比单独工作时能更有效地发挥作用并产生更大的影响。,我们应该反对集体主义
一群统一立场的集体思想更加强大。,我们应该反对集体主义。
如果他们愿意，一个团体应该能够被识别并作为一种宗教实行。,我们应该禁止科学教会。
高投票率对于获得合法民主授权和民主体系的运作十分重要。,我们应该引入强制投票制度
一个临终的人可以帮助其他人活下去，通过器官移植帮助他们的家人延续生命。,我们应该合法化器官交易
一位人权活动家发表讲话称，人们不应因为属于某个群体或有不同肤色而遭受种族歧视。,我们应该终止种族歧视
一名法官允许个人感情参与判决会导致该判决不公正。,我们应该限制司法激进主义
一个法官是一个可信赖的被选举产生的个人，他的决定应当受到信任。,我们应该限制司法激进主义
法官仅仅应该解释法律问题是否符合宪法 -- 司法激进主义实质上是在法庭上立法，这超出了司法部门被允许做的事情。,我们应该限制司法活动主义
法官不是上帝，因此不应该做出所有决定。,我们应该限制司法激进主义
一名法官应受到高度尊重，并且应该遵守他们宣誓要维护的法律，不偏不倚。,我们应该限制司法激进主义
一名法官应该维护法治，而不是用自己的观点/意见/信仰来改变它。,我们应当限制司法激进主义
一名法官应被允许部分地使用自己的信念来判断一个论点的合宪性。,我们应该限制司法激进主义
一位法官不应该展示他们的个人观点。,我们应该限制司法激进主义。
一名法官的看法不应在其作为法官做出决定时起作用,我们应该限制司法激进主义
一位法官的观点不应该凌驾于官方法律之上。,我们应该限制司法激进主义。
一名法官的角色不是炫耀法律并擅自覆盖指导，而是要执行法律。司法激进主义走得太远。,我们应该限制司法激进主义
一名法官应该被允许审视犯罪和犯罪行为所涉及的情况，因为惩罚应该根据个人情况来确定。,我们应该限制司法激进主义。
法官应该被允许根据特定情况和环境做出决策，并根据呈现的信息和问题来做出判断，而不是严格遵循一般化的标准。,我们应当限制司法激进主义。
一位法官应该遵循法律而不是个人意见，因为他们被视为最高权力来审判他们尊重、维护的法律。,我们应该限制司法激进行为
多党制的一个关键优势是选民可以选择他们想要选举的政党。,我们应该采取多党制。
由于外貌缺乏自信心可能会给人们的生活造成毁灭性的影响，而整形手术可以帮助减少这种影响。,我们应该禁止整形手术
缺乏控制意味着如果出了问题就没有人能介入,我们应该停止自动驾驶汽车的发展
选票的缺乏导致了议会没有公正的代表情况。,我们应该引入强制选举。
不包括性别的语言剥夺了人们的个性。,我们应该采用性别中性语言
世界上绝大多数人以某种形式信仰上帝，因此选择无神论并不符合大多数人的信仰。,我们应该接受无神论
通常情况下，更大的人群能够通过人数优势提供更多的价值。拥有更多的想法和更多的人力，大团体通常有更多的价值。,我们应该反对集体主义。
律师为他的客户提供更好的代表比一个得到较少报酬的公共辩护律师。,公共辩护律师的使用应当是强制性的
合法的器官交易将增加移植器官的供应量，并拯救生命。,我们应该合法化器官交易。
合法化器官交易将显著提高移植器官的存货量，拯救生命。,我们应该合法化器官交易。
合法化器官买卖将增加用于医疗程序的库存量，并使该程序变得更安全更受监管。,我们应该合法化器官交易
合法化的交易会对那些来自较贫困经济背景的人造成不成比例的伤害，还会合法化涉及的巨大健康风险。,我们应该合法化器官交易
一个合法化的市场会剥削贫困人口，由于财务问题，他们很可能会成为出售器官的最有可能的人选。,我们应该合法化器官交易
一个自由主义政府只是借口从富人那里拿走，然后给穷人。,我们应该采纳自由主义。
一个自由主义政府将为底层阶级提供急需的资源。,我们应该采纳自由主义。 
一个自由主义系统允许并确保一个人可以自由做任何他们想做的事情，只要这些行为不会妨碍或侵犯其他人的权利。,我们应该采纳自由主义。
不伤害他人的生活方式应该是合法的,我们应该合法化一夫多妻。
如果我们放弃电视，就会有更多的工作和研究可以完成。,我们应该放弃电视
许多性别中性语言假定男性版本的词作为新被接受的中性词。这并不使其中性化，只是假定男性更好。,我们应该采用性别中立的语言
许多自然医学专家在缺乏科学支持的情况下提出建议，可能会损害患者。,我们应该禁止自然疗法
军事行动需要大量私人资源，比如武器制造。使用私人军事公司并无不同。,我们应该禁止私人军事公司。
很多罪犯都属于特定的种族，所以为了安全目的和挽救生命，警察应该被允许进行种族歧视，作为付出一点痛苦的交换。 ,我们应该终止种族歧视检查
许多时候，整形手术的身体和情感后遗症会击败整形手术的主要目的。,我们应该禁止整形手术
很多时候，进行家庭教育的人并没有达到高中文凭所需的所有科目的教学资格。,家庭教育应该被禁止
他们所做的很多事情都很危险，包括反对疫苗。,我们应该禁止自然疗法
很多卖淫的女性本身也曾受到性侵，因此提供更好的选择可能更为合适。,我们应该合法化卖淫。
低分数可能会阻止个人达到其最大潜力，并且如果将测试结果视为衡量个人价值的标准，可能会带来分裂。,智力测试带来的伤害大于好处
低投票率意味着当选政府不代表国家真实意愿。强制投票将意味着当选政府获得真正的授权。,我们应该引入强制投票。
大多数美国人信仰宗教。,我们应该选择无神论。
大多数学生无法支付高昂的大学学费,我们应该对学生贷款进行补贴
一个男人或女人有权利做他们希望做的事情，如果他们选择出售自己的身体用于性服务，政府不应干涉。,我们应该合法化卖淫。
强制性的退休年龄允许雇主为他们的工作队伍引入新鲜的人才。,我们应该取消强制退休。
强制性退休年龄确保某些职位会定期空出，使年轻员工得以进入当老员工离开时。,我们应该取消强制退休。
强制退休年龄有助于雇主定期注入新鲜人才，更新劳动力队伍。,我们应该结束强制退休。
一个男人的地方就是在职场为家庭提供。为什么其他人要为这个家庭买单，只是因为这个人不愿意去工作呢？,我们应该对待在家的父亲进行补贴。
婚姻只是一张纸，不过如此。,我们应该放弃婚姻
学校对零容忍的度量会使制度崩溃，因为每种情况都需要一定的灵活性。,我们应该在学校内实行零容忍政策。
一位医生表示，80%参加智力测试的学生在面对测试结果的不确定性困扰时，会出现学习能力的极强下降。,智力测试带来的伤害多于好处
军事公司禁令只会关闭机会。,我们应该禁止私人军事公司
导致微型军备竞赛的导弹防御开发者和导弹开发者之间的对抗会给任何拥有这两个产业的国家造成巨额开支。,我们应该为废除核武器而斗争。
未成年人没有必要的心理和情感发展来做出具有长期影响的决定。,我们应该禁止未成年人进行整形手术
未成年人绝对没有足够的责任来决定进行整形手术。你会看到太多孩子这样做，因为他们想要像流行偶像一样。这是危险的。,我们应该禁止未成年人进行整容手术
未成年人还没有足够的年龄来做决定，特别是关乎会永久改变他们的事情。,我们应该禁止未成年人进行整容手术
未成年人仍在成长，因此任何整容手术在他们完全长成之前可能会导致不太理想的结果。,我们应该禁止未成年人进行整容手术
如果整形手术可以改善未成年人对自身的看法并提高他们的信心，那么他们应该被允许接受这种手术。这些改变会以积极的方式影响他们的成年生活。,我们应该禁止未成年人进行整形手术。
未成年人应对自己的身体拥有控制权,我们应该禁止未成年人进行整形手术
一个错误可能导致一个人永久毁容,我们应该禁止整容手术
一个主张性别平等的现代社会有责任补贴留在家中照顾孩子的父亲，就像它对待母亲一样支持——这既改善了女性的职业前景，也增进了父亲与孩子的情感联系。,我们应该对居家父亲提供补贴。
一个多党制是必要的，因为除了民主党和共和党之外还有更多观点。,我们应该采取多党制。
多党制允许多样化人口有更好的选择，意味着他们可以找到一个他们真正信任并投票支持的人，更好地参与民主。,我们应该采用多党制。
多党制允许更多合格个人参与。,我们应该采取多党制制度。
多党制会给人们提供太多选择从而制造混乱。,我们应该采取多党制。
多党制并不总是有利的。要知道，我们可能会面临多个糟糕的选择，最终只能选择两害相权取其轻。,我们应该采用多党制。
多党制确保每个人的观点都能被代表和纳入考虑，而不仅仅是少数人。,我们应该采取多党制。
一个多党制体系有助于确保所有人都得到代表，而没有任何一个政党或派别变得过于强大。多党制体系在各个层面上更加公平，不会全盘偏袒某一群体。,我们应该采取多党制。
一个多党制系统过于不稳定，缺乏稳定性和一致性。,我们应该采取多党制。
一个多党制可能会太过混乱，因为会有太多候选人持有太多不同的观点，选举将会变得十分困难。,我们应该采取多党制。
一个多党制将有助于我们选择最适合这项工作的人。,我们应采取多党制。
多党制将导致边缘团体的崛起，这些团体并不代表人民的意愿。,我们应该采用多党制。
多党制将为政治舞台带来许多新鲜和新颖的想法。,我们应该采取多党制。
多党制将确保更多人的观点被考虑在内。,我们应该采纳多党制。
多党制会代表所有投票的人，而不仅仅是投票给一个政党的人，因此一个更公平的治理体系会得以建立。,我们应该采取多党制。
一个多党制系统会花费更多的时间在争论而不是解决问题上，并且并不会有益。,我们应该采纳多党制
多党制与宪法不一致。,我们应该采取多党制。
一个多元化系统为更多选项和候选人提供了可能，因为并非每个人的政治观点都相同。,我们应该采纳多党制。
一个多党制系统可以减少特定候选人的票数，导致选票被挪用。,我们应该采取多党制。
多党制确保所有人和声音被听到和代表。,我们应该采用多党制。
多党制对于实现民主、防止专制政权上台至关重要。,我们应该采用多党制。
多党制允许选民更大的选择自由，表达他们对实施的政策投票的民主权利。,我们应该采取多党制。
多党制可以使更多的观点被听到。,我们应该采纳多党制。
多党制允许多个政党进入政府，是民主的标志。,我们应该采取多党制。
一个多党制系统允许所有政党代表所有人。,我们应该采取多党制。
多党制允许广泛范围的观点得以被听取和实施。,我们应该采用多党制。
多党制能够提供个体更广泛的选项，让他们能够找到真正代表他们的正确政党。,我们应该采纳多党制。
多党制允许不同思想的存在，为人民提供更多选择。,我们应该采用多党制
多党制允许人们在投票时有更多的选择。它让每个公民都能投给最符合自己信仰并代表其意识形态的政党。,我们应该采取多党制。
多党制能够提供更大的选择自由和言论表达自由,我们应该采取多党制。
多党制能够提供更大的选择自由，因为更多的主要政党将涵盖更多意识形态观点。,我们应该采用多党制。
多党制允许选民更多的言论自由，并减少对自己最不赞同的候选人投票的需求,我们应该采用多党制。
多党制提供了更多选择，以解决不同观点和问题，使多个候选人提供。,我们应该采取多党制。
多党制允许更多的想法、更多的候选人、更多的选民投票。,我们应该采用多党制。
多党制可以让更多不合格的人参与竞选。,我们应该采纳多党制。
多党制允许更多的观点和理念得到代表。,我们应该采取多党制。
多党制允许更多观点的表达，需要政治家建立联盟并妥协以完成事务。,我们应该采取多党制。
多党制允许人民在不同的思想集合中进行选择，从而决定谁来治理国家。,我们应该采取多党制。
多党制允许对执政政府进行公开和建设性的批评，防止了专制统治。,我们应该采取多党制。
这样的多党制将确保所有政策都经过达成一致，而不是由少数人强行通过。它还将确保更广泛的信仰和观点得到代表。,我们应该采纳多党制。
多党制模糊了国家愿景和模型的公民性。我们不应该采纳多党制，因为这会浪费宝贵的时间来达成一致。,我们应该采取多党制制度。
多党制给政治领域带来了多样性，有助于人们更好地决定他们的选票应该投给谁。,我们应该采用多党制。
一个多党制系统会给本应简单到“遵纪守法”的政府体系带来持续的争吵和无休止的内斗。,我们应该采纳多党制。
多党制可以增加人民的意见并提供更多选择。,我们应该采取多党制制度
一个多党制可以打开把不称职的领导摒除出去并创造变革的大门。,我们应该采取多党制。
多党制可以导致某人当选，而其受到少数公民的支持。,我们应该采取多党制。
一个多党制系统可能增加更多复杂性，并导致问题变得无法解决的情况。,我们应该采取多党制。
一个多党制系统可能非常有益，因为它将允许更多不同的观点和选择。,我们应该采用多党制。
一个多党制可能导致本该合作的团体之间的内讧过多。,我们应该采取多党制
多党制可能会增加政治官僚主义,我们应该采取多党制。
多党制可能会导致更多情况下无法达成多数意见。这意味着推动政策通过可能会更加困难。,我们应该采取多党制。
多党制可能会让决策变得更加困难，因为更多意见会使事情变得更加复杂。,我们应该采取多党制。
多党制可能意味着很难就任何问题达成一致意见，因为可能在问题上没有多数派。,我们应该采用多党制。
一个多党制会造成混乱。 在这种情况下，多并不一定更好。,我们应该采取多党制。
多党制使人民能够更多地参与国家事务。,我们应该采取多党制。
多党制鼓励创新和新思想。,我们应该采取多党制。
多党制鼓励具有不同政治观点的政党合作，避免极端对立的对抗政治。,我们应该采取多党制。
多党制鼓励形成薄弱和不稳定的联合政府，无法推动激进变革。,我们应该采取多党制。
多党制确保选民有机会选举与他们信仰最接近的政治家，减少了他们不得不妥协在他们认为重要的事情上的机会。,我们应该采用多党制。
一个多党制显然对于民主是有益的。它可让对立团体通过协商解决分歧，为人民在政府选举中提供选择。,我们应该采取多党制。
一个多党制在民主制度中得以确立。任何人都应该有自己的意识形态，并选择他所青睐的政党。,我们应该采用多党制。
一个多党制是很棒的，因为它为选民提供了许多不同观点和想法的候选人。,我们应该采取多党制。
一个多党制系统更不太可能迎合极端分子，因为现在他们只有少数极端政党代表他们，而不是更大的政党。,我们应该采取多党制制度
一个多党制系统不太可能发生僵局，因为有更多政党愿意妥协。,我们应该采用多党制。
多党制更能代表人民的意愿,我们应该采取多党制。
多党制更能响应公众舆论的变化或转变。,我们应该采用多党制
多党制是对所有政治观点最公正的代表，会增加选民对政治的整体参与。,我们应该采用多党制。
多党制是目前最民主的制度，因为它承认了更广泛的观点。,我们应采取多党制。
一个多党制缺乏稳定性，并且运行成本巨大，因为许多党派都在竞选，希望他们的声音被听到。,我们应该采取多党制。
多党制导致混乱和混乱。,我们应该采用多党制。
多党制导致了过多的分裂，可能永远无法达成总体共识。,我们应该采取多党制。
多党制导致政府不稳定，无法准确反映民意。,我们应采用多党制。
一个多党制使许多关键议题的不同观点得以被听到,我们应该采用多党制。
多党制使得在想法上进行合作变得更加困难。,我们应该采取多党制。
多党制确保了更多的想法被纳入其中。,我们应该采用多党制
多党制确保没有一个政党垄断所有权力。,我们应该采用多党制。
多党制最大化了选择，促进了更多选民的参与。,我们应采用多党制。
多党制意味着更多的意见将被听取，人们将有更多的选择权来决定投票支持谁。,我们应该采纳多党制
一个多党制的系统可能会让更多不同背景的候选人脱颖而出参与竞选。,我们应该采取多党制。
多党制让形势复杂化，涉及太多的观点。,我们应该采用多党制。
多党制永远行不通，因为归根结底，每个政党都自顾自，不为被代表的人民的最大利益而努力。,我们应该采取多党制。
多党制提供了太多选项，降低了对某一候选人的选举投票，导致选票分散在过多的选项上。,我们应该采用多党制。
多党制只会让选择总统候选人变得更加困难,我们应该采用多党制。
多党制防止了单一政党领导在没有挑战的情况下制定政策。,我们应该采取多党制制度
多党制提供了更多选择，以确保人们在简单的两党或单一党制以外能够得到代表他们各种信仰的代表。,我们应该采取多党制。
多党制能减少战术性投票（即为阻止他人获胜而投票给特定候选人或政党）。,我们应该采纳多党制。
多党制导致不同的平台过多，缺乏凝聚力，无法取得任何成就。,我们应该采取多党制。
多党制将选票分散得很薄，因此一个领导人可以获胜，即使他们没有得到多数人的选票。,我们应该采用多党制。
多党制削弱了决策速度并确保没有取得任何进展，所以我们不应该采用。,我们应该采纳多党制。
多党制将会促进思想交流，更好地发展我们的政府。,我们应该采取多党制。
多党制将会造成混乱和僵局。,我们应该采取多党制。
多党制将为更多拥有不同想法的人士提供参选机会。,我们应当采纳多党制。
多党制将有助于确保更多的政治议程有机会代表人民。,我们应该采取多党制。
一个多党制系统只会在我们的政府中引发更多争论和政治据点。,我们应该采取多党制。
一个多党制系统将缺乏真正的领导，并意味着政策往往会被削弱或根本无法通过，因为无法达成多数共识。,我们应该采取多党制。
一个多党制将会促进政府中观点的多样性。,我们应该采取多党制。
一个多党制系统将确保每个国家内的人都得到很好的代表。,我们应该采用多党制。
一个多党制系统将需要大量资金，这些资金本可以在其他地方更好地利用。,我们应该采用多党制。
多党制只会导致立法停滞，无法取得任何成就。,我们应该采用多党制。
多党制将会进一步分裂这个国家。,我们应该采纳多党制。
一个多党制系统将允许更多的人让他们的想法被代表。,我们应该采取多党制。
多党制将使更多不同的观点被听取，并促成更加复杂的辩论。,我们应该采取多党制。
一个多党制将是有益的，因为政府中不止一个政治观点将确保更公正的结果。,我们应该采取多党制。
在我们需要追求共同利益的时候，多党制可能会产生分裂。,我们应该采取多党制。
多党制将更好地代表公众意愿。,我们应该采取多党制。
一个多党制度会更能代表人民的意愿,我们应该采纳多党制。
一个多党制系统会太过混乱,我们应该采取多党制。
一个多党制系统将会过于分散。,我们应该采取多党制。
一个多党制将为目前由同一批人和观念主导的体制注入新的活力,我们应该采用多党制。
多党制将为政府带来更加公平的平衡，不会导致政治的极端化。,我们应该采用多党制。
一个多党制系统会为居住在该国的人们带来更多代表选择。,我们应该采取多党制。
多党制将为人们提供更多发声和投票选择。,我们应该采取多党制。
一个多党制系统将会引起更多混乱，使政府的效率变得更低。,我们应该采纳多党制。
一个多党制系统可以确保政治场所中的思想分布平等。,我们应该采纳多党制。
一个多党制将给更多的团体提供机会让他们的政治声音被听到。,我们应该采取多党制。
多党制能给选民更多选择，并平衡竞争环境。,我们应该采取多党制。
一个多党制系统将有助于引入新的理念。,我们应该采取多党制。
多党制将有助于为选民创造更多选择。,我们应该采取多党制制度。
一个多党制将通过代表更多传统上边缘化的观点来改善民主进程，从而增强人们投票的积极性。,我们应该采纳多党制。
一个多党制系统会引入新的想法,我们应该采取多党制。
多党制将导致选举无效，没有人获得多数选票，因此没有人获胜。,我们应该采取多党制。
一个多党制体系永远不会取得任何成就，因为几乎不可能让所有党派就任何事情达成一致意见。,我们应该采取多党制。
一个多党制系统只会导致内讧和事务处理效率降低。,我们应该采取多党制。
一个多党制系统会使选票受到污染。会有太多的选项，这意味着没有一个选项能够得到其应有或需要的完整选票。,我们应该采取多党制。
一个多党制系统需要对我们的民主制度进行彻底改革。,我们应该采取多党制。
多党制将毁掉这个国家。,我们应该采取多党制。
在一些存在君主制的国家，多党制可能行不通，我们不应干涉稳定的政权或试图把我们的想法强加给他人。,我们应该采纳多党制。
一个多党制体系使选民选择候选人变得太过混乱，尤其是如果每个候选人都有良好的政纲。,我们应该采取多党制
一个新系统将会带来新生机和创造选择。,我们应该采用多党制。
一种非宗派性的祷告可以被理解为表达学校的精神和校训，应该是可以接受的。,我们应该禁止学校祈祷
一种无宗派的学校祈祷和在学校背国家忠诚誓言一样糟糕，因此应该被允许。,我们应该禁止学校祈祷
一个无核武世界将确保人类的生存。,我们应该为废除核武器而奋斗
一场核战争将会杀死全球所有人和所有生物，整个人类将被消灭殆尽，我们再也没有机会回来。,我们应当为废除核武器而战。
一党制就是独裁制度。共产主义下的俄罗斯就是一个一党制国家。所有人必须遵循政府的立场，不能持有反对意见。,我们应该采取多党制。
父母应该无论孩子是男孩还是女孩都要爱他们，这是自然的决定方式，而性别选择技术使孩子变成商品而不是奇迹。,我们应该合法化性别选择
父母最清楚对他们的孩子有益的事情。,家庭教育应该被禁止
父母比任何人都更了解自己的孩子，并可以根据孩子的个性来个性化教学。,家庭教育应该被禁止
病人应该能够决定他们何时已经接受了足够的“关怀”。,协助自杀应被视为犯罪行为
一家发薪日贷款公司为公众服务。他们允许那些需要立即用钱而不想等待工资的人借款。如果人们想要使用这些公司，我们为什么要阻止他们呢？,应该禁止发放薪资贷款
一笔薪金贷款可能是一个急需资金的人用来应付即时财务危机的唯一手段。,日薪贷款应该被禁止。
一笔薪资贷款提供了一项普通放贷方无法提供的重要服务，当正确使用时，非常有效。,应禁止发放薪水贷款
被指控犯罪的人应该有权选择自己的辩护律师，无论是选择他们认为最有能力的辩护律师，还是选择让他们感觉更舒服的律师。,公共辩护律师的使用应该是强制性的
被指控犯罪的人应有权选择自己想要的辩护人，不应被强迫接受与其他人可能相同，甚至可能不那么出色的才能。,公共辩护人员的使用应该是强制性的
一个人可以在音乐、自我内省或动态方面有天赋，这些方面与语言或数学技能一样重要，但这些其他类型的智力并不容易通过目前已经制定出来的任何测试来衡量。,智力测试带来的危害大于好处
一个人可能会被诱使去犯一种本来不会去做的罪行，如果面对诱捕的行为。,诱导应该被合法化
通过克隆创造的个体可能会出现发育问题，这是由克隆过程中的缺陷导致的。,我们应该禁止人类克隆。
一个人有权利陈述他对自己国家的看法。,我们应该禁止烧国旗
一个人有言论自由，而把这视为犯罪限制了一个人在此修正案下所保障的自由。,否认大屠杀应该是一种犯罪行为
一个人有权选择整形手术，如果他们愿意的话，不应该有人阻止他们这样做。,我们应该禁止整容手术
一个人有权结束自己的痛苦，如果有人怜悯他们并选择帮助他们，那个人不应受到惩罚。,协助自杀应当视为刑事犯罪
一个人有权拥有自己的意见，让否认大屠杀成为刑事犯罪剥夺了这个人的权利。,否认大屠杀应当被视为犯罪行为
一个人必须赚钱来养活自己。对于一些人来说，卖淫是没有其他可行选择的。仅仅因为试图生存就逮捕某人是不公正的。,我们应该将卖淫合法化
一个人要么是男性要么是女性，除非是出生为两性畸形，所以迎合那些决定成为性别中立的人是世界疯了的又一个例子。,我们应该采用性别中立的语言
